Community Profile Data by Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Further explanation on Notes sheet,,,,,,Population Characteristics,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,Means of Transportation to Work,,,,,,,,
Municipality,County,Muni and County,Year,Square Miles,Mun Inde,Population ,% White ,% Black ,"% Asian, Pacific Islander, and Hawaiian ",% Other,% Hispanic or Latino Origin*,Households,Median Household Income,Percent of Population in Poverty,Low and Moderate Income*,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties  (2018 Tax Data),Total Housing Units*,Total Occupied Housing Units,% Occupied housing units ,% Owner-occupied,% Renter-occupied,<75% Occupied*,2010 or later,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Wood,Other or no heating fuel,Total Workers,"Car, truck, or van",Public transport,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
Barrington borough,Camden,"Barrington borough, Camden",2015,1.6,22,"6,877",95%,2%,0%,2%,5%,"2,790","$61,711",6.4%,,32,172,95,"2,940","2,790",95%,62%,38%,,8,53,382,148,240,308,"1,051",278,472,"1,786",40,137,197,131,113,536,0,0,74%,16%,0%,9%,0%,1%,"3,388",90%,7%,0%,0%,0%,2%,0%,2%
Barrington borough,Camden,"Barrington borough, Camden",2020,1.6,22,"6,678",93%,3%,2%,2%,4%,"2,979","$78,708",5.0%,,29,218,95,"3,104","2,979",96%,53%,47%,,20,52,274,210,304,574,"1,070",251,349,"1,747",28,141,249,156,241,542,0,0,68%,21%,2%,7%,0%,2%,"3,709",83%,6%,1%,0%,0%,3%,0%,8%
Bass River township,Burlington,"Bass River township, Burlington",2015,78.3,23,"1,468",94%,1%,1%,5%,5%,558,"$62,727",10.5%,,38,104,41,606,558,92%,87%,13%,,3,67,20,68,133,71,28,19,197,526,5,0,0,0,0,0,75,0,6%,24%,20%,35%,9%,6%,705,82%,5%,0%,0%,0%,6%,1%,5%
Bass River township,Burlington,"Bass River township, Burlington",2020,78.3,23,"1,225",86%,0%,1%,12%,9%,488,"$71,618",12.2%,,46,54,41,540,488,90%,88%,12%,,2,27,59,85,140,30,25,10,162,471,4,0,0,0,0,0,65,0,26%,23%,7%,27%,5%,12%,643,85%,1%,0%,0%,0%,2%,10%,2%
Bay Head borough,Ocean,"Bay Head borough, Ocean",2015,0.7,24,992,93%,0%,2%,5%,2%,433,"$108,542",8.5%,,21,367,38,"1,002",433,43%,82%,18%,Yes,10,65,67,64,77,90,159,42,428,913,9,42,5,21,3,0,9,0,93%,3%,3%,1%,0%,1%,388,81%,8%,2%,0%,2%,1%,1%,6%
Bay Head borough,Ocean,"Bay Head borough, Ocean",2020,0.7,24,"1,050",94%,0%,1%,5%,3%,472,"$102,000",3.1%,,14,492,38,"1,025",472,46%,83%,17%,Yes,116,82,58,81,65,63,131,62,367,974,6,24,3,11,4,0,3,0,90%,9%,0%,1%,0%,1%,427,81%,4%,1%,0%,1%,3%,4%,8%
Bayonne city,Hudson,"Bayonne city, Hudson",2015,7.7,25,"65,378",71%,11%,9%,9%,24%,"25,474","$54,413",14.8%,Yes,40,82,"1,208","27,398","25,474",93%,37%,63%,,106,"1,512",675,"1,277","2,500","3,299","3,316","3,147","11,566","3,649","1,801","10,755","3,638","2,378","2,142","2,892",143,0,80%,9%,1%,9%,0%,1%,"29,862",66%,23%,0%,0%,0%,8%,0%,3%
Bayonne city,Hudson,"Bayonne city, Hudson",2020,7.7,25,"65,112",62%,10%,10%,18%,35%,"24,784","$69,511",12.4%,,42,83,"1,208","27,237","24,784",91%,41%,59%,,998,"1,179","1,267","1,207","3,022","3,516","3,336","2,984","9,728","4,004","1,599","10,172","3,146","2,586","1,597","3,970",163,0,76%,14%,3%,5%,0%,2%,"30,602",62%,25%,1%,0%,0%,6%,1%,5%
Beach Haven borough,Ocean,"Beach Haven borough, Ocean",2015,2.3,26,991,97%,2%,1%,0%,1%,527,"$71,964",6.9%,,22,331,113,"2,599",527,20%,85%,15%,Yes,12,349,249,378,264,515,362,106,364,"1,549",166,438,164,43,110,117,12,0,82%,16%,0%,2%,0%,0%,353,85%,0%,0%,0%,3%,5%,1%,6%
Beach Haven borough,Ocean,"Beach Haven borough, Ocean",2020,2.3,26,979,94%,1%,1%,4%,4%,466,"$105,417",8.6%,,20,391,113,"2,605",466,18%,90%,10%,Yes,129,372,143,519,198,546,234,151,313,"1,643",182,256,112,58,185,161,5,3,78%,18%,1%,3%,0%,1%,412,68%,3%,0%,0%,2%,10%,1%,15%
