Community Profile Data by Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Further explanation on Notes sheet,,,,,,Population Characteristics,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,Means of Transportation to Work,,,,,,,,
Municipality,County,Muni and County,Year,Square Miles,Mun Inde,Population ,% White ,% Black ,"% Asian, Pacific Islander, and Hawaiian ",% Other,% Hispanic or Latino Origin*,Households,Median Household Income,Percent of Population in Poverty,Low and Moderate Income*,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties  (2018 Tax Data),Total Housing Units*,Total Occupied Housing Units,% Occupied housing units ,% Owner-occupied,% Renter-occupied,<75% Occupied*,2010 or later,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Wood,Other or no heating fuel,Total Workers,"Car, truck, or van",Public transport,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
Pompton Lakes borough,Passaic,"Pompton Lakes borough, Passaic",2015,3.1,405,"11,179",92%,0%,4%,3%,17%,"4,120","$87,004",7.9%,,24,291,172,"4,437","4,120",93%,75%,25%,,0,292,79,429,544,501,"1,482",450,660,"2,729",433,291,102,151,194,537,0,0,84%,9%,1%,5%,0%,1%,"6,170",88%,6%,0%,0%,0%,2%,0%,4%
Pompton Lakes borough,Passaic,"Pompton Lakes borough, Passaic",2020,3.1,405,"10,998",86%,2%,8%,5%,16%,"4,216","$98,348",7.2%,,26,274,172,"4,252","4,216",99%,72%,28%,,6,168,257,263,627,821,961,526,623,"2,850",381,399,154,69,49,350,0,0,86%,9%,1%,4%,0%,0%,"6,392",85%,4%,0%,0%,3%,2%,0%,6%
Port Republic city,Atlantic,"Port Republic city, Atlantic",2015,8.6,406,996,96%,0%,3%,1%,5%,362,"$84,688",4.6%,,29,199,12,384,362,94%,93%,7%,,13,63,30,50,51,17,38,29,93,365,6,0,0,0,0,13,0,0,14%,24%,7%,35%,6%,14%,487,84%,0%,2%,0%,0%,0%,0%,13%
Port Republic city,Atlantic,"Port Republic city, Atlantic",2020,8.6,406,"1,127",95%,1%,1%,3%,0%,452,"$141,250",2.1%,,26,272,12,493,452,92%,95%,5%,,9,138,69,46,79,10,33,16,93,493,0,0,0,0,0,0,0,0,3%,30%,7%,27%,7%,26%,627,97%,0%,0%,0%,0%,0%,0%,3%
Princeton,Mercer,"Princeton, Mercer",2015,18.4,407,"28,936",73%,7%,16%,4%,7%,"9,499","$114,645",6.0%,,14,486,372,"10,358","9,499",92%,59%,41%,,47,879,929,831,874,"1,359","1,872",671,"2,896","5,990","1,307",465,701,528,520,840,7,0,73%,14%,1%,9%,0%,2%,"13,995",55%,12%,0%,0%,5%,15%,0%,13%
Princeton,Mercer,"Princeton, Mercer",2020,18.4,407,"31,161",72%,6%,17%,5%,6%,"9,806","$146,127",7.1%,,15,462,372,"10,931","9,806",90%,56%,44%,,"1,152",684,969,827,808,"1,418","2,107",664,"2,302","5,829","1,958",344,689,430,505,"1,172",4,0,69%,21%,2%,6%,0%,1%,"14,649",47%,8%,0%,0%,3%,22%,0%,20%
Prospect Park borough,Passaic,"Prospect Park borough, Passaic",2015,0.5,408,"5,924",57%,21%,3%,19%,54%,"1,662","$53,889",17.4%,Yes,50,38,65,"1,839","1,662",90%,46%,55%,,0,11,29,57,112,355,222,457,596,459,68,"1,096",179,29,0,8,0,0,79%,11%,3%,6%,0%,1%,"2,707",88%,9%,0%,0%,0%,2%,0%,1%
Prospect Park borough,Passaic,"Prospect Park borough, Passaic",2020,0.5,408,"5,853",61%,23%,2%,14%,52%,"1,661","$48,838",16.8%,Yes,59,22,65,"1,811","1,661",92%,46%,54%,,6,27,54,60,78,405,175,233,773,347,75,"1,132",223,10,0,24,0,0,90%,7%,1%,1%,0%,0%,"2,675",82%,8%,0%,0%,0%,4%,3%,4%
Quinton township,Salem,"Quinton township, Salem",2015,24.3,409,"2,613",82%,12%,0%,6%,4%,970,"$64,722",7.1%,,37,117,53,"1,107",970,88%,84%,16%,,27,131,99,138,128,149,126,86,223,929,37,12,7,13,0,0,109,0,4%,11%,18%,60%,5%,3%,"1,054",98%,0%,0%,0%,0%,1%,0%,1%
Quinton township,Salem,"Quinton township, Salem",2020,24.3,409,"2,346",78%,20%,0%,2%,4%,946,"$68,750",5.9%,,37,130,53,"1,049",946,90%,87%,13%,,19,69,108,110,95,102,237,62,247,909,26,37,0,0,0,0,77,0,3%,15%,15%,62%,2%,2%,"1,126",95%,0%,0%,0%,2%,1%,1%,1%
Rahway city,Union,"Rahway city, Union",2015,4.0,410,"28,644",50%,32%,4%,14%,27%,"10,858","$60,374",8.5%,,35,132,437,"12,002","10,858",91%,58%,42%,,382,"1,367",495,714,908,"1,328","2,350","1,610","2,848","5,970",812,"1,782",359,377,477,"2,178",47,0,77%,13%,1%,7%,0%,1%,"14,329",81%,11%,0%,0%,1%,3%,2%,2%
Rahway city,Union,"Rahway city, Union",2020,4.0,410,"29,691",45%,31%,6%,18%,29%,"11,621","$77,393",7.4%,,33,177,437,"12,249","11,621",95%,58%,43%,,"1,022","1,404",413,855,"1,116","1,746","2,394","1,082","2,217","6,200",829,"1,392",277,260,566,"2,492",0,233,74%,16%,1%,8%,0%,2%,"14,895",78%,14%,0%,0%,0%,2%,1%,5%
Ramsey borough,Bergen,"Ramsey borough, Bergen",2015,5.6,411,"14,889",89%,0%,9%,1%,5%,"5,436","$135,387",2.1%,,10,541,249,"5,568","5,436",98%,87%,13%,,86,162,559,904,572,"1,010",997,421,857,"3,832",740,165,158,252,210,211,0,0,91%,4%,1%,3%,0%,1%,"7,633",77%,11%,0%,0%,0%,1%,2%,8%
Ramsey borough,Bergen,"Ramsey borough, Bergen",2020,5.6,411,"14,915",85%,0%,7%,7%,7%,"5,357","$156,058",1.3%,,11,525,249,"5,616","5,357",95%,88%,12%,,197,183,377,829,"1,055","1,183",925,145,722,"4,003",558,242,187,180,187,244,15,0,88%,9%,1%,2%,0%,0%,"7,400",73%,14%,0%,0%,0%,3%,0%,10%
Randolph township,Morris,"Randolph township, Morris",2015,21.2,412,"25,917",82%,3%,11%,3%,10%,"9,081","$120,392",2.6%,,13,506,334,"9,322","9,081",97%,75%,25%,,19,660,"1,589","1,668","2,443","1,279","1,023",268,373,"6,783",401,193,192,248,606,899,0,0,68%,5%,3%,23%,0%,1%,"13,535",86%,5%,0%,0%,0%,1%,1%,7%
Randolph township,Morris,"Randolph township, Morris",2020,21.2,412,"25,496",78%,3%,13%,6%,10%,"9,022","$150,422",3.9%,,16,455,334,"9,356","9,022",96%,76%,24%,,393,500,"1,778","1,649","1,933","1,338","1,068",395,302,"6,689",544,167,419,140,611,786,0,0,71%,9%,2%,18%,0%,1%,"13,159",86%,3%,0%,0%,0%,1%,0%,9%
Raritan borough,Somerset,"Raritan borough, Somerset",2015,2.0,413,"7,328",75%,4%,15%,6%,18%,"2,712","$73,827",5.7%,,21,347,183,"3,071","2,712",88%,63%,37%,,70,342,331,160,167,510,570,172,749,"1,569",286,643,163,82,15,313,0,0,83%,8%,2%,7%,0%,0%,"3,840",89%,2%,1%,0%,0%,3%,2%,4%
Raritan borough,Somerset,"Raritan borough, Somerset",2020,2.0,413,"7,833",67%,2%,17%,14%,22%,"3,005","$82,471",6.3%,,27,263,183,"3,242","3,005",93%,57%,44%,,362,262,493,154,185,504,459,166,657,"1,529",314,636,248,53,88,366,0,8,84%,10%,2%,4%,0%,1%,"4,246",92%,2%,0%,0%,0%,1%,1%,4%
Raritan township,Hunterdon,"Raritan township, Hunterdon",2015,37.6,414,"22,048",91%,1%,6%,1%,4%,"8,120","$114,569",5.3%,,17,444,413,"8,323","8,120",98%,88%,13%,,38,"1,219","1,520","2,981",651,758,639,171,346,"5,626","1,692",101,164,268,346,126,0,0,77%,4%,4%,14%,1%,0%,"11,295",91%,4%,0%,0%,0%,0%,0%,5%
Raritan township,Hunterdon,"Raritan township, Hunterdon",2020,37.6,414,"22,252",85%,3%,7%,4%,5%,"8,268","$123,828",3.5%,,16,453,413,"8,546","8,268",97%,89%,11%,,315,"1,213","1,488","3,062",811,669,451,145,392,"5,611","1,716",97,189,493,199,148,93,0,80%,4%,4%,11%,0%,1%,"11,672",86%,3%,0%,0%,0%,0%,0%,11%
Readington township,Hunterdon,"Readington township, Hunterdon",2015,47.8,415,"15,974",93%,1%,4%,2%,4%,"6,120","$118,125",4.5%,,15,468,292,"6,361","6,120",96%,89%,11%,,42,475,"1,747","1,216","1,004",491,555,275,556,"5,035",580,131,128,281,86,106,14,0,62%,3%,4%,29%,2%,1%,"8,220",89%,2%,0%,0%,0%,1%,0%,7%
Readington township,Hunterdon,"Readington township, Hunterdon",2020,47.8,415,"15,889",88%,1%,5%,6%,10%,"6,426","$121,885",2.5%,,16,458,292,"6,655","6,426",97%,89%,11%,,382,328,"1,488","1,267","1,156",562,548,217,707,"4,949",693,174,280,314,70,175,0,0,61%,5%,3%,27%,2%,1%,"7,453",85%,5%,0%,0%,0%,0%,1%,9%
Red Bank borough,Monmouth,"Red Bank borough, Monmouth",2015,2.2,416,"12,238",60%,16%,2%,22%,33%,"5,114","$62,028",14.9%,,36,124,627,"5,592","5,114",92%,47%,54%,,30,243,327,299,510,632,711,553,"2,287","2,121",498,599,578,225,404,"1,167",0,0,71%,18%,2%,8%,1%,1%,"6,514",67%,10%,3%,0%,2%,12%,1%,5%
Red Bank borough,Monmouth,"Red Bank borough, Monmouth",2020,2.2,416,"12,039",74%,10%,2%,15%,27%,"5,657","$78,985",11.3%,,37,124,627,"5,898","5,657",96%,48%,52%,,184,240,361,354,570,742,723,523,"2,201","2,350",481,528,640,347,304,"1,248",0,0,77%,16%,2%,3%,0%,2%,"6,779",78%,5%,2%,0%,3%,5%,0%,7%
Ridgefield borough,Bergen,"Ridgefield borough, Bergen",2015,2.9,417,"11,256",59%,1%,33%,7%,21%,"4,002","$68,843",6.8%,,24,281,313,"4,231","4,002",95%,52%,48%,,0,191,57,403,284,523,"1,113",736,924,"1,655",169,"1,438",461,67,181,239,0,21,89%,5%,2%,4%,0%,0%,"5,579",84%,12%,0%,0%,0%,2%,0%,2%
Ridgefield borough,Bergen,"Ridgefield borough, Bergen",2020,2.9,417,"11,209",59%,2%,32%,7%,30%,"3,865","$79,696",8.0%,,27,259,313,"4,039","3,865",96%,47%,53%,,69,188,198,124,295,592,"1,038",665,870,"1,746",305,"1,036",347,170,155,280,0,0,86%,8%,2%,3%,0%,1%,"5,947",88%,7%,0%,0%,0%,2%,0%,2%
Ridgefield Park village,Bergen,"Ridgefield Park village, Bergen",2015,1.9,418,"12,969",66%,5%,12%,17%,38%,"4,633","$63,841",6.5%,,29,212,206,"4,997","4,633",93%,56%,44%,,0,101,77,150,402,380,777,613,"2,497","2,097",83,"1,317",274,34,426,766,0,0,77%,11%,1%,10%,0%,1%,"6,368",75%,18%,0%,0%,0%,2%,1%,4%
Ridgefield Park village,Bergen,"Ridgefield Park village, Bergen",2020,1.9,418,"12,928",69%,4%,10%,17%,47%,"4,795","$81,908",9.3%,,29,223,206,"5,146","4,795",93%,50%,50%,,22,116,90,203,511,772,775,540,"2,117","1,887",132,"1,633",183,67,409,817,18,0,72%,11%,3%,11%,0%,3%,"6,996",76%,14%,3%,0%,1%,2%,0%,4%
Ridgewood village,Bergen,"Ridgewood village, Bergen",2015,5.8,419,"25,370",81%,2%,14%,3%,7%,"8,298","$147,823",3.5%,,10,537,333,"8,562","8,298",97%,78%,22%,,8,208,193,353,300,773,"2,077",879,"3,771","6,880",168,604,296,169,190,255,0,0,85%,6%,0%,8%,0%,0%,"11,282",67%,20%,0%,0%,1%,2%,0%,10%
Ridgewood village,Bergen,"Ridgewood village, Bergen",2020,5.8,419,"25,110",76%,2%,15%,7%,9%,"8,417","$178,958",3.3%,,10,541,333,"8,740","8,417",96%,81%,19%,,109,110,180,502,470,"1,131","2,106","1,013","3,119","6,938",247,386,260,182,197,530,0,0,86%,8%,1%,5%,0%,1%,"11,384",61%,18%,0%,0%,0%,3%,1%,17%
Ringwood borough,Passaic,"Ringwood borough, Passaic",2015,28.5,420,"12,387",93%,1%,3%,3%,4%,"3,829","$108,638",3.8%,,19,396,83,"4,185","3,829",92%,97%,3%,,3,261,155,377,784,"1,241",744,311,309,"4,081",25,65,0,0,0,14,0,0,65%,3%,4%,26%,2%,0%,"6,416",92%,2%,0%,0%,0%,1%,0%,4%
Ringwood borough,Passaic,"Ringwood borough, Passaic",2020,28.5,420,"12,229",91%,2%,3%,5%,10%,"4,256","$123,559",1.9%,,18,417,83,"4,368","4,256",97%,95%,6%,,27,187,155,235,647,"1,273",994,336,514,"4,270",18,38,42,0,0,0,0,0,68%,2%,2%,26%,0%,1%,"6,503",87%,2%,0%,0%,0%,1%,0%,10%
River Edge borough,Bergen,"River Edge borough, Bergen",2015,1.9,421,"11,566",73%,1%,21%,4%,10%,"3,949","$103,607",3.6%,,16,450,129,"4,057","3,949",97%,74%,26%,,67,93,120,88,228,275,"1,152",845,"1,189","3,105",100,77,444,96,83,140,12,0,87%,5%,2%,4%,0%,1%,"5,962",73%,18%,0%,0%,0%,3%,1%,5%
River Edge borough,Bergen,"River Edge borough, Bergen",2020,1.9,421,"11,510",64%,2%,29%,5%,8%,"4,119","$128,231",3.2%,,18,420,129,"4,262","4,119",97%,76%,24%,,89,185,82,263,223,533,"1,073","1,082",732,"3,129",101,87,646,111,43,145,0,0,85%,6%,3%,4%,0%,3%,"6,046",74%,13%,0%,0%,0%,1%,1%,12%
River Vale township,Bergen,"River Vale township, Bergen",2015,4.3,422,"9,883",86%,2%,8%,5%,5%,"3,406","$132,265",2.9%,,12,514,33,"3,495","3,406",98%,90%,10%,,20,331,211,329,654,878,799,126,147,"2,952",100,26,133,34,10,213,27,0,90%,7%,1%,2%,0%,0%,"4,788",80%,11%,0%,0%,0%,1%,0%,8%
River Vale township,Bergen,"River Vale township, Bergen",2020,4.3,422,"10,002",88%,1%,8%,3%,5%,"3,429","$161,250",1.6%,,14,498,33,"3,644","3,429",94%,89%,11%,,138,175,144,463,682,807,906,97,232,"2,941",143,9,74,24,63,376,14,0,85%,12%,2%,1%,0%,0%,"4,687",81%,8%,0%,0%,0%,1%,0%,10%
Riverdale borough,Morris,"Riverdale borough, Morris",2015,2.1,423,"4,154",95%,0%,5%,1%,8%,"1,959","$87,274",4.3%,,16,448,131,"2,081","1,959",94%,73%,27%,,187,930,120,47,78,93,309,119,198,814,164,32,20,0,51,"1,000",0,0,79%,16%,0%,5%,0%,0%,"2,570",95%,2%,0%,0%,0%,0%,0%,2%
Riverdale borough,Morris,"Riverdale borough, Morris",2020,2.1,423,"4,179",91%,2%,3%,5%,12%,"1,853","$112,688",3.3%,,16,449,131,"1,896","1,853",98%,73%,27%,,307,728,156,31,41,139,304,50,140,741,83,32,14,167,44,815,0,0,73%,19%,1%,7%,1%,1%,"2,305",87%,4%,0%,0%,0%,1%,0%,8%
Riverside township,Burlington,"Riverside township, Burlington",2015,1.6,424,"8,044",79%,11%,0%,9%,10%,"2,822","$54,492",11.6%,Yes,41,79,170,"3,195","2,822",88%,65%,35%,,0,62,167,91,236,360,673,414,"1,192","1,814",651,253,326,49,48,27,27,0,78%,8%,1%,12%,1%,1%,"4,162",93%,4%,0%,0%,0%,1%,1%,2%
Riverside township,Burlington,"Riverside township, Burlington",2020,1.6,424,"7,860",76%,8%,2%,14%,19%,"2,983","$61,975",13.5%,Yes,40,103,170,"3,325","2,983",90%,56%,44%,,49,27,137,120,222,313,602,316,"1,539","1,648",733,479,183,145,87,28,22,0,70%,13%,4%,11%,0%,1%,"4,087",89%,4%,1%,0%,0%,3%,0%,3%
Riverton borough,Burlington,"Riverton borough, Burlington",2015,0.9,425,"2,766",95%,3%,1%,2%,6%,"1,036","$92,125",4.9%,,21,352,47,"1,069","1,036",97%,80%,20%,,0,5,16,20,35,40,178,63,712,752,129,76,22,84,6,0,0,0,76%,8%,1%,13%,0%,0%,"1,546",84%,7%,0%,1%,0%,2%,0%,5%
Riverton borough,Burlington,"Riverton borough, Burlington",2020,0.9,425,"2,691",87%,8%,1%,4%,5%,996,"$100,278",3.9%,,21,372,47,"1,063",996,94%,78%,22%,,0,33,21,30,12,14,157,78,718,693,115,64,136,33,22,0,0,0,78%,6%,0%,16%,0%,1%,"1,312",78%,6%,0%,0%,1%,0%,1%,14%
Robbinsville township,Mercer,"Robbinsville township, Mercer",2015,20.6,426,"14,093",80%,2%,14%,3%,4%,"5,059","$116,686",1.2%,,12,512,196,"5,167","5,059",98%,83%,18%,,48,"1,212","1,612","1,234",435,268,198,64,96,"2,455","1,441",28,70,247,318,453,155,0,79%,13%,2%,5%,0%,0%,"7,484",88%,7%,0%,0%,0%,1%,0%,4%
Robbinsville township,Mercer,"Robbinsville township, Mercer",2020,20.6,426,"14,518",65%,6%,26%,3%,5%,"5,366","$151,938",1.5%,,10,537,196,"5,576","5,366",96%,86%,14%,,296,"1,209","1,758","1,376",263,327,158,21,168,"2,594","1,759",37,228,279,142,393,144,0,84%,10%,2%,4%,1%,0%,"8,057",84%,6%,1%,0%,0%,1%,0%,8%
Rochelle Park township,Bergen,"Rochelle Park township, Bergen",2015,1.0,427,"5,624",81%,1%,13%,6%,20%,"1,923","$73,512",3.3%,,25,278,153,"1,972","1,923",98%,69%,31%,,11,87,52,63,123,280,622,417,317,"1,272",44,246,236,0,43,131,0,0,84%,1%,1%,12%,0%,1%,"2,870",90%,8%,0%,0%,0%,0%,1%,0%
Rochelle Park township,Bergen,"Rochelle Park township, Bergen",2020,1.0,427,"5,580",76%,4%,11%,10%,25%,"2,139","$87,171",6.5%,,30,209,153,"2,189","2,139",98%,79%,21%,,67,171,0,70,45,337,485,415,599,"1,621",30,180,53,0,77,218,0,10,81%,9%,2%,7%,0%,1%,"3,090",84%,9%,0%,0%,0%,2%,1%,3%
Rockaway borough,Morris,"Rockaway borough, Morris",2015,2.1,428,"6,490",86%,6%,6%,1%,20%,"2,510","$78,604",2.3%,,20,368,198,"2,711","2,510",93%,70%,30%,,0,69,132,161,580,176,476,290,827,"1,741",186,198,65,100,331,51,39,0,59%,3%,1%,37%,0%,0%,"3,671",90%,3%,0%,0%,1%,0%,0%,6%
Rockaway borough,Morris,"Rockaway borough, Morris",2020,2.1,428,"6,345",89%,2%,5%,3%,15%,"2,588","$86,442",4.2%,,20,387,198,"2,665","2,588",97%,65%,36%,,15,6,166,170,579,314,506,303,606,"1,571",92,162,109,167,245,319,0,0,62%,18%,1%,16%,0%,2%,"3,328",93%,1%,0%,0%,0%,3%,0%,3%
Rockaway township,Morris,"Rockaway township, Morris",2015,45.9,429,"24,546",82%,3%,8%,7%,12%,"8,888","$100,303",2.8%,,17,443,197,"9,520","8,888",93%,84%,16%,,97,905,"1,435",979,"1,311","1,821","1,670",618,684,"7,032",665,187,214,276,329,770,47,0,45%,9%,5%,39%,1%,1%,"12,901",92%,2%,0%,0%,0%,1%,0%,5%
Rockaway township,Morris,"Rockaway township, Morris",2020,45.9,429,"25,395",85%,3%,5%,6%,14%,"9,218","$123,230",4.2%,,17,423,197,"10,050","9,218",92%,82%,18%,,451,977,"1,515",952,"1,301","1,729","2,114",395,616,"7,361",592,155,268,341,345,927,61,0,52%,9%,4%,34%,1%,0%,"13,163",83%,3%,0%,0%,0%,1%,0%,12%
Rockleigh borough,Bergen,"Rockleigh borough, Bergen",2015,1.0,430,576,91%,6%,2%,1%,13%,81,"$133,125",5.9%,,17,435,16,85,81,95%,91%,9%,,1,7,7,17,23,3,1,9,17,79,1,5,0,0,0,0,0,0,91%,6%,0%,2%,0%,0%,75,81%,1%,0%,0%,0%,9%,0%,8%
Rockleigh borough,Bergen,"Rockleigh borough, Bergen",2020,1.0,430,650,86%,6%,4%,5%,10%,76,"$242,500",10.2%,,13,501,16,81,76,94%,95%,5%,,2,8,8,14,6,0,4,3,36,72,3,3,1,1,0,0,1,0,93%,5%,1%,0%,0%,0%,106,76%,0%,0%,0%,0%,0%,0%,24%
Rocky Hill borough,Somerset,"Rocky Hill borough, Somerset",2015,0.6,431,615,96%,2%,1%,1%,4%,247,"$104,219",4.2%,,15,480,13,262,247,94%,76%,24%,,0,0,9,21,19,73,13,13,114,209,23,4,22,2,0,2,0,0,66%,9%,1%,19%,1%,3%,304,82%,1%,0%,0%,0%,8%,1%,8%
Rocky Hill borough,Somerset,"Rocky Hill borough, Somerset",2020,0.6,431,655,88%,8%,0%,5%,8%,234,"$111,346",3.8%,,17,428,13,271,234,86%,88%,12%,,4,0,6,10,11,90,26,13,111,202,44,12,7,6,0,0,0,0,78%,10%,2%,11%,0%,0%,295,80%,1%,0%,0%,0%,2%,1%,15%
Roosevelt borough,Monmouth,"Roosevelt borough, Monmouth",2015,1.9,432,800,88%,2%,5%,5%,4%,293,"$72,321",4.4%,,22,337,6,306,293,96%,83%,17%,,0,8,2,32,29,25,21,24,165,210,63,24,2,0,0,7,0,0,94%,3%,0%,3%,0%,0%,347,85%,2%,0%,0%,1%,1%,0%,12%
Roosevelt borough,Monmouth,"Roosevelt borough, Monmouth",2020,1.9,432,913,88%,4%,2%,7%,23%,288,"$110,625",3.5%,,20,378,6,299,288,96%,81%,19%,,0,4,6,51,39,11,20,27,141,229,56,8,0,5,0,1,0,0,89%,3%,3%,4%,0%,0%,396,87%,5%,0%,0%,0%,0%,1%,7%
Roseland borough,Essex,"Roseland borough, Essex",2015,3.6,433,"5,853",89%,1%,8%,3%,10%,"2,426","$101,786",2.4%,,14,494,89,"2,483","2,426",98%,83%,17%,,0,406,256,164,462,385,413,126,271,"1,431",692,49,135,62,49,65,0,0,90%,6%,0%,3%,0%,1%,"2,826",92%,4%,0%,0%,0%,1%,0%,3%
Roseland borough,Essex,"Roseland borough, Essex",2020,3.6,433,"5,841",84%,0%,6%,10%,9%,"2,237","$142,776",1.8%,,15,478,89,"2,373","2,237",94%,77%,23%,,112,441,243,226,291,227,366,257,210,"1,215",680,39,47,141,73,178,0,0,88%,10%,1%,1%,0%,0%,"3,014",82%,7%,0%,0%,0%,0%,1%,11%
Roselle borough,Union,"Roselle borough, Union",2015,2.6,434,"21,466",27%,52%,3%,18%,28%,"8,128","$43,397",14.6%,Yes,42,72,310,"8,678","8,128",94%,53%,47%,,0,367,342,647,689,"1,373","1,469","1,880","1,911","4,538",364,"1,311",722,129,329,"1,252",0,33,78%,9%,1%,12%,0%,0%,"9,429",85%,7%,0%,0%,0%,2%,3%,2%
Roselle borough,Union,"Roselle borough, Union",2020,2.6,434,"21,699",23%,48%,2%,28%,33%,"7,445","$65,307",9.9%,Yes,41,92,310,"8,147","7,445",91%,58%,42%,,151,199,314,144,764,935,"1,501","1,701","2,438","4,335",352,"1,361",509,648,277,610,55,0,82%,6%,3%,7%,0%,2%,"10,898",77%,14%,2%,0%,0%,1%,2%,4%
Roselle Park borough,Union,"Roselle Park borough, Union",2015,1.2,435,"13,555",67%,7%,8%,18%,30%,"4,910","$63,021",8.7%,,29,213,206,"5,413","4,910",91%,59%,41%,,9,128,74,294,390,524,"1,128",866,"2,000","3,060",159,522,452,79,267,850,24,0,75%,8%,2%,13%,0%,2%,"6,497",85%,9%,0%,0%,0%,2%,0%,3%
Roselle Park borough,Union,"Roselle Park borough, Union",2020,1.2,435,"13,574",50%,10%,11%,29%,34%,"5,042","$80,842",5.2%,,30,211,206,"5,150","5,042",98%,56%,44%,,22,0,240,105,564,711,967,858,"1,683","3,022",15,474,474,187,313,665,0,0,81%,7%,1%,11%,0%,0%,"7,596",83%,10%,1%,0%,0%,1%,1%,5%
Roxbury township,Morris,"Roxbury township, Morris",2015,21.9,436,"23,517",87%,3%,6%,5%,10%,"7,949","$105,105",4.4%,,19,399,446,"8,319","7,949",96%,89%,11%,,25,442,"1,374","1,160","1,415","1,490","1,227",485,701,"6,729",495,212,219,386,86,183,9,0,51%,4%,2%,42%,1%,1%,"12,035",90%,3%,0%,0%,0%,0%,0%,7%
Roxbury township,Morris,"Roxbury township, Morris",2020,21.9,436,"22,882",80%,7%,6%,7%,10%,"8,138","$106,451",5.8%,,21,371,446,"8,534","8,138",95%,87%,13%,,41,543,"1,159","1,131","1,393","1,453","1,238",473,"1,103","7,004",477,211,94,324,244,166,0,14,55%,6%,4%,34%,1%,0%,"11,444",90%,4%,0%,0%,0%,0%,1%,5%
Rumson borough,Monmouth,"Rumson borough, Monmouth",2015,7.1,437,"6,993",96%,1%,1%,2%,3%,"2,298","$136,538",2.9%,,10,536,65,"2,574","2,298",89%,89%,11%,,115,389,114,153,277,306,412,205,603,"2,415",69,27,22,0,0,21,20,0,89%,7%,0%,4%,0%,0%,"2,701",66%,22%,0%,0%,0%,2%,1%,9%
Rumson borough,Monmouth,"Rumson borough, Monmouth",2020,7.1,437,"6,757",95%,1%,3%,2%,4%,"2,112","$222,237",3.3%,,6,556,65,"2,339","2,112",90%,93%,7%,,269,349,77,142,120,238,384,163,597,"2,271",14,31,16,0,0,0,7,0,91%,6%,0%,3%,0%,0%,"2,741",58%,25%,0%,0%,2%,3%,1%,12%
Runnemede borough,Camden,"Runnemede borough, Camden",2015,2.1,438,"8,414",81%,10%,2%,7%,11%,"3,114","$61,885",9.5%,,36,122,168,"3,379","3,114",92%,72%,28%,,8,107,249,184,507,435,"1,275",260,354,"2,418",92,219,66,89,248,247,0,0,80%,8%,1%,8%,0%,2%,"3,850",93%,3%,0%,0%,0%,2%,0%,2%
Runnemede borough,Camden,"Runnemede borough, Camden",2020,2.1,438,"8,307",84%,6%,4%,5%,14%,"3,123","$71,495",8.1%,,37,131,168,"3,408","3,123",92%,70%,30%,,27,79,78,189,368,799,"1,105",347,416,"2,374",148,146,76,19,307,338,0,0,82%,7%,1%,8%,0%,3%,"4,172",86%,4%,0%,0%,1%,2%,0%,6%
Rutherford borough,Bergen,"Rutherford borough, Bergen",2015,2.9,439,"18,434",78%,2%,16%,4%,16%,"6,939","$84,778",4.6%,,20,379,287,"7,207","6,939",96%,59%,41%,,27,195,107,236,312,698,"1,520","1,068","3,044","3,883",246,"1,216",431,305,421,702,3,0,82%,4%,2%,11%,0%,1%,"9,683",73%,19%,0%,0%,0%,3%,2%,3%
Rutherford borough,Bergen,"Rutherford borough, Bergen",2020,2.9,439,"18,376",71%,2%,16%,10%,23%,"6,835","$106,817",5.8%,,20,392,287,"7,033","6,835",97%,60%,40%,,65,188,199,260,352,575,"1,379","1,200","2,815","3,945",110,"1,179",364,284,553,486,112,0,84%,7%,3%,4%,0%,2%,"9,585",64%,24%,0%,0%,1%,2%,3%,7%
Saddle Brook township,Bergen,"Saddle Brook township, Bergen",2015,2.7,440,"13,954",87%,2%,8%,3%,12%,"5,280","$80,543",7.5%,,24,295,222,"5,449","5,280",97%,68%,32%,,63,369,189,245,324,"1,069","1,777",868,545,"3,292",348,958,352,36,77,386,0,0,84%,8%,0%,8%,0%,0%,"6,759",89%,4%,0%,0%,0%,1%,3%,3%
Saddle Brook township,Bergen,"Saddle Brook township, Bergen",2020,2.7,440,"13,762",82%,4%,7%,7%,21%,"5,184","$107,511",5.2%,,24,303,222,"5,431","5,184",96%,65%,35%,,311,446,224,241,450,929,"1,494",742,594,"3,157",175,818,365,28,206,662,20,0,83%,10%,2%,4%,1%,1%,"7,355",83%,8%,0%,0%,0%,1%,1%,7%
