Municipality,County,Municipality,Year,Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms),Mun_inde
Spring Lake borough,Monmouth,"Spring Lake borough, Monmouth County",2019,JCPL,23528633,11137173,NULL,275616,34941422,NJNG,2352491,423986,NULL,NULL,2776477,472
Spring Lake borough,Monmouth,"Spring Lake borough, Monmouth County",2020,JCPL,25119839,10254459,NULL,273174,35647472,NJNG,1872547,620960,NULL,NULL,2493507,472
Spring Lake borough,Monmouth,"Spring Lake borough, Monmouth County",2021,JCPL,25291426,10488785,NULL,273036,36053247,NJNG,1470285,531660,NULL,NULL,2001945,472
Spring Lake Heights borough,Monmouth,"Spring Lake Heights borough, Monmouth County",2015,JCPL,21504588,8934279,NULL,177624,30616491,NJNG,1606382,672105,NULL,NULL,2278487,473
Spring Lake Heights borough,Monmouth,"Spring Lake Heights borough, Monmouth County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,1359530,599064,NULL,NULL,1958594,473
Spring Lake Heights borough,Monmouth,"Spring Lake Heights borough, Monmouth County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,1451181,603590,NULL,NULL,2054771,473
Spring Lake Heights borough,Monmouth,"Spring Lake Heights borough, Monmouth County",2018,JCPL,21571532,8340790,NULL,177603,30089925,NJNG,1634448,639113,NULL,NULL,2273561,473
Spring Lake Heights borough,Monmouth,"Spring Lake Heights borough, Monmouth County",2019,JCPL,20733341,8049963,NULL,177771,28961075,NJNG,1572032,620140,NULL,NULL,2192172,473
Spring Lake Heights borough,Monmouth,"Spring Lake Heights borough, Monmouth County",2020,JCPL,21225055,7295974,NULL,178107,28699136,NJNG,1454877,539334,NULL,NULL,1994211,473
Spring Lake Heights borough,Monmouth,"Spring Lake Heights borough, Monmouth County",2021,JCPL,21866769,7162488,NULL,178128,29207385,NJNG,1524129,565418,NULL,NULL,2089547,473
Springfield township,Burlington,"Springfield township, Burlington County",2015,PSEG/JCPL,16956867,9712207,372030,301022,27342126,PSEG,334819,209287,NULL,NULL,544106,474
Springfield township,Burlington,"Springfield township, Burlington County",2016,PSEG/JCPL,10657470,6385726,341174,236182,17620552,PSEG,277312,167615,NULL,NULL,444927,474
Springfield township,Burlington,"Springfield township, Burlington County",2017,PSEG/JCPL,10235487,6255820,321694,225364,17038365,PSEG,280596,188630,NULL,NULL,469226,474
Springfield township,Burlington,"Springfield township, Burlington County",2018,PSEG/JCPL,16590973,9539343,373596,296375,26800287,PSEG,317790,165047,NULL,NULL,482837,474
Springfield township,Burlington,"Springfield township, Burlington County",2019,PSEG/JCPL,15926088,9213980,361959,299280,25801307,PSEG,297363,91514,NULL,NULL,388877,474
Springfield township,Burlington,"Springfield township, Burlington County",2020,PSEG/JCPL,16086748,8773967,363637,299940,25524292,PSEG,276501,72644,NULL,NULL,349144,474
Springfield township,Burlington,"Springfield township, Burlington County",2021,PSEG/JCPL,16406658,8924859,398190,299509,26029216,PSEG,297793,75335,NULL,NULL,373128,474
Springfield township,Union,"Springfield township, Union County",2015,PSEG/JCPL,56047377,74768649,7479676,499956,138795658,PSEG,5881830,3724940,231140,NULL,9837910,475
Springfield township,Union,"Springfield township, Union County",2016,PSEG/JCPL,15533,733890,NULL,NULL,749423,PSEG,4859222,3015284,194260,NULL,8068767,475
Springfield township,Union,"Springfield township, Union County",2017,PSEG/JCPL,14568,762486,NULL,NULL,777054,PSEG,5213709,3351908,234138,NULL,8799755,475
Springfield township,Union,"Springfield township, Union County",2018,PSEG/JCPL,53795992,75216161,8430826,501972,137944951,PSEG,5744608,3764251,289015,NULL,9797874,475
Springfield township,Union,"Springfield township, Union County",2019,PSEG/JCPL,52061161,72542578,8219193,501972,133324904,PSEG,5529896,3677045,260524,NULL,9467464,475
Springfield township,Union,"Springfield township, Union County",2020,PSEG/JCPL,53063956,69875493,7755880,502824,131198153,PSEG,5083553,3268145,222029,NULL,8573726,475
Springfield township,Union,"Springfield township, Union County",2021,PSEG/JCPL,55192068,74259323,7023533,502824,136977748,PSEG,5361954,3517432,236715,NULL,9116101,475
Stafford township,Ocean,"Stafford township, Ocean County",2015,ACE,121700981,113585531,389505,1649369,237325386,NJNG,6697037,2562211,NULL,NULL,9259248,476
Stafford township,Ocean,"Stafford township, Ocean County",2016,ACE,117238160,103333701,393354,1652650,222617865,NJNG,7897705,2007416,NULL,NULL,9905121,476
Stafford township,Ocean,"Stafford township, Ocean County",2017,ACE,111217777,104232158,335178,1670210,217455323,NJNG,7921966,2029672,NULL,NULL,9951638,476
Stafford township,Ocean,"Stafford township, Ocean County",2018,ACE,120463454,110854205,262407,1671358,233251424,NJNG,9419028,2436132,NULL,NULL,11855160,476
Stafford township,Ocean,"Stafford township, Ocean County",2019,ACE,113525988,101144240,209528,1669651,216549407,NJNG,8666394,2372403,NULL,NULL,11038797,476
Stafford township,Ocean,"Stafford township, Ocean County",2020,ACE,118939627,94110736,189971,1651822,214892156,NJNG,493581,71614,NULL,NULL,565195,476
Stafford township,Ocean,"Stafford township, Ocean County",2021,ACE,119683848,94829337,205736,1650951,216369872,NJNG,563797,83720,NULL,NULL,647517,476
Stanhope borough,Sussex,"Stanhope borough, Sussex County",2015,JCPL,16197477,5557203,1776534,122640,23653854,ETG,NULL,NULL,NULL,NULL,0,477
Stanhope borough,Sussex,"Stanhope borough, Sussex County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,NULL,NULL,NULL,NULL,0,477
Stanhope borough,Sussex,"Stanhope borough, Sussex County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,NULL,NULL,NULL,NULL,0,477
Stanhope borough,Sussex,"Stanhope borough, Sussex County",2018,JCPL,15783598,5186671,1811789,120870,22902928,ETG,NULL,NULL,NULL,NULL,0,477
Stanhope borough,Sussex,"Stanhope borough, Sussex County",2019,JCPL,15233201,5137567,1627630,121010,22119408,ETG,NULL,NULL,NULL,NULL,0,477
Stanhope borough,Sussex,"Stanhope borough, Sussex County",2020,JCPL,15633366,4645321,1487046,121620,21887353,ETG,NULL,NULL,NULL,NULL,0,477
Stanhope borough,Sussex,"Stanhope borough, Sussex County",2021,JCPL,15941479,4512341,1479921,121620,22055361,ETG,NULL,NULL,NULL,NULL,0,477
Stillwater township,Sussex,"Stillwater township, Sussex County",2015,JCPL,20337541,3012509,183394,NULL,23533444,ETG,NULL,NULL,NULL,NULL,0,478
Stillwater township,Sussex,"Stillwater township, Sussex County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,NULL,NULL,NULL,NULL,0,478
Stillwater township,Sussex,"Stillwater township, Sussex County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,NULL,NULL,NULL,NULL,0,478
Stillwater township,Sussex,"Stillwater township, Sussex County",2018,JCPL,19600243,3086559,96453,NULL,22783255,ETG,NULL,NULL,NULL,NULL,0,478
Stillwater township,Sussex,"Stillwater township, Sussex County",2019,JCPL,19719945,3425163,135732,NULL,23280840,ETG,NULL,NULL,NULL,NULL,0,478
Stillwater township,Sussex,"Stillwater township, Sussex County",2020,JCPL,20188848,3192563,131342,NULL,23512753,ETG,NULL,NULL,NULL,NULL,0,478
Stillwater township,Sussex,"Stillwater township, Sussex County",2021,JCPL,20550841,3363118,135798,NULL,24049757,ETG,NULL,NULL,NULL,NULL,0,478
Stockton borough,Hunterdon,"Stockton borough, Hunterdon County",2015,JCPL,2357894,1536083,115993,19656,4029626,ETG,154161,48026,NULL,NULL,202187,479
Stockton borough,Hunterdon,"Stockton borough, Hunterdon County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,162884,50607,NULL,NULL,213491,479
Stockton borough,Hunterdon,"Stockton borough, Hunterdon County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,162420,50069,NULL,NULL,212489,479
Stockton borough,Hunterdon,"Stockton borough, Hunterdon County",2018,JCPL,2358054,1164875,140237,19656,3682822,ETG,189002,50586,NULL,NULL,239588,479
Stockton borough,Hunterdon,"Stockton borough, Hunterdon County",2019,JCPL,2333271,1093804,148231,19656,3594962,ETG,169681,43587,NULL,NULL,213268,479
Stockton borough,Hunterdon,"Stockton borough, Hunterdon County",2020,JCPL,2384066,1039797,131149,19656,3574668,ETG,265695,66373,NULL,NULL,332068,479
Stockton borough,Hunterdon,"Stockton borough, Hunterdon County",2021,JCPL,2459825,1065350,123184,19656,3668015,ETG,328022,80349,NULL,NULL,408371,479
Stone Harbor borough,Cape May,"Stone Harbor borough, Cape May County",2015,ACE,24076717,10083139,2869,341851,34504576,SJG,1369970,246014,NULL,NULL,1615984,480
Stone Harbor borough,Cape May,"Stone Harbor borough, Cape May County",2016,ACE,23778231,9917539,NULL,342139,34037909,SJG,1163226,244862,NULL,NULL,1408088,480
Stone Harbor borough,Cape May,"Stone Harbor borough, Cape May County",2017,ACE,22273575,9803312,NULL,342687,32419574,SJG,1215794,248087,NULL,NULL,1463881,480
Stone Harbor borough,Cape May,"Stone Harbor borough, Cape May County",2018,ACE,24180080,9751030,NULL,342970,34274080,SJG,1325041,255508,NULL,NULL,1580549,480
Stone Harbor borough,Cape May,"Stone Harbor borough, Cape May County",2019,ACE,24082141,10471574,NULL,347900,34901615,SJG,1338759,294249,NULL,NULL,1633008,480
Stone Harbor borough,Cape May,"Stone Harbor borough, Cape May County",2020,ACE,25208510,8508435,NULL,347447,34064392,SJG,1321507,215295,NULL,NULL,1536802,480
Stone Harbor borough,Cape May,"Stone Harbor borough, Cape May County",2021,ACE,25527174,9590616,NULL,347558,35465348,SJG,1512481,243567,NULL,NULL,1756047,480
Stow Creek township,Cumberland,"Stow Creek township, Cumberland County",2015,ACE,3760788,660571,NULL,NULL,4421359,SJG,150,NULL,NULL,NULL,150,481
Stow Creek township,Cumberland,"Stow Creek township, Cumberland County",2016,ACE,3500548,574209,NULL,NULL,4074757,SJG,662,NULL,NULL,NULL,662,481
Stow Creek township,Cumberland,"Stow Creek township, Cumberland County",2017,ACE,3207219,545614,NULL,NULL,3752833,SJG,583,NULL,NULL,NULL,583,481
Stow Creek township,Cumberland,"Stow Creek township, Cumberland County",2018,ACE,3648626,706265,NULL,3995,4358886,SJG,747,NULL,NULL,NULL,747,481
Stow Creek township,Cumberland,"Stow Creek township, Cumberland County",2019,ACE,3452520,694183,NULL,3994,4150697,SJG,5071,NULL,NULL,NULL,5071,481
Stow Creek township,Cumberland,"Stow Creek township, Cumberland County",2020,ACE,3351233,574889,NULL,NULL,3926122,SJG,9566,3978,NULL,NULL,13544,481
Stow Creek township,Cumberland,"Stow Creek township, Cumberland County",2021,ACE,3276961,610860,NULL,NULL,3887821,SJG,12849,4964,NULL,NULL,17814,481
Stratford borough,Camden,"Stratford borough, Camden County",2015,ACE,22677982,29434602,2398971,178613,54690168,SJG,1813677,1522357,NULL,NULL,3336035,482
Stratford borough,Camden,"Stratford borough, Camden County",2016,ACE,22003548,28680355,2487298,81839,53253040,SJG,1434772,1357724,NULL,NULL,2792496,482
Stratford borough,Camden,"Stratford borough, Camden County",2017,ACE,20549512,28223501,2417717,81840,51272570,SJG,1500311,1365985,NULL,NULL,2866296,482
Stratford borough,Camden,"Stratford borough, Camden County",2018,ACE,22105598,28442501,2481638,81840,53111577,SJG,1815078,1504143,NULL,NULL,3319222,482
Stratford borough,Camden,"Stratford borough, Camden County",2019,ACE,20760193,28070902,2294406,81840,51207341,SJG,1679915,1418768,NULL,NULL,3098683,482
Stratford borough,Camden,"Stratford borough, Camden County",2020,ACE,21015297,25960832,2004889,81840,49062858,SJG,1548455,1404316,NULL,NULL,2952771,482
Stratford borough,Camden,"Stratford borough, Camden County",2021,ACE,21409223,26302955,1904017,81839,49698034,SJG,1663430,1436513,NULL,NULL,3099943,482
Summit city,Union,"Summit city, Union County",2015,JCPL,90861592,137087807,51139890,538578,279627867,PSEG,10143011,5359577,2548557,NULL,18051144,483
Summit city,Union,"Summit city, Union County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,8309568,7363807,632447,NULL,16305822,483
Summit city,Union,"Summit city, Union County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,8979199,7540661,615172,NULL,17135033,483
Summit city,Union,"Summit city, Union County",2018,JCPL,84767054,141751783,45237482,540957,272297276,PSEG,10073528,7458925,2378464,NULL,19910917,483
Summit city,Union,"Summit city, Union County",2019,JCPL,82351746,144591753,50711541,542031,278197071,PSEG,9634245,5805443,3371518,NULL,18811207,483
Summit city,Union,"Summit city, Union County",2020,JCPL,83819643,140936886,41884409,543019,267183957,PSEG,8811108,5265783,3962209,NULL,18039100,483
Summit city,Union,"Summit city, Union County",2021,JCPL,86858094,135243314,41811090,544972,264457470,PSEG,9390566,5773471,3154152,NULL,18318189,483
Surf City borough,Ocean,"Surf City borough, Ocean County",2015,ACE,15131354,5443955,NULL,108779,20684088,NJNG,847588,123822,NULL,NULL,971410,484
Surf City borough,Ocean,"Surf City borough, Ocean County",2016,ACE,14651581,5275703,NULL,109954,20037238,NJNG,765263,117397,NULL,NULL,882660,484
Surf City borough,Ocean,"Surf City borough, Ocean County",2017,ACE,14023375,5213924,NULL,109793,19347092,NJNG,779666,120257,NULL,NULL,899923,484
Surf City borough,Ocean,"Surf City borough, Ocean County",2018,ACE,15863242,5342927,NULL,109811,21315980,NJNG,974375,132510,NULL,NULL,1106885,484
Surf City borough,Ocean,"Surf City borough, Ocean County",2019,ACE,15451466,5216268,NULL,109772,20777506,NJNG,915062,129271,NULL,NULL,1044333,484
Surf City borough,Ocean,"Surf City borough, Ocean County",2020,ACE,16518220,5075561,NULL,109761,21703542,NJNG,838910,111266,NULL,NULL,950176,484
Surf City borough,Ocean,"Surf City borough, Ocean County",2021,ACE,16561580,5054817,NULL,109727,21726124,NJNG,926807,119839,NULL,NULL,1046646,484
Sussex borough,Sussex,"Sussex borough, Sussex County",2015,JCPL,7796066,82658578,200228,82800,90737672,ETG,184052,219975,NULL,NULL,404026,485
Sussex borough,Sussex,"Sussex borough, Sussex County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,189613,227587,NULL,NULL,417200,485
Sussex borough,Sussex,"Sussex borough, Sussex County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,208606,265842,87518,NULL,561966,485
Sussex borough,Sussex,"Sussex borough, Sussex County",2018,JCPL,8312937,75720397,187026,82396,84302756,ETG,239681,398550,37836,NULL,676067,485
Sussex borough,Sussex,"Sussex borough, Sussex County",2019,JCPL,8290253,72906093,190851,79524,81466721,ETG,242897,386349,29232,NULL,658478,485
Sussex borough,Sussex,"Sussex borough, Sussex County",2020,JCPL,8604266,76053950,129151,79524,84866891,ETG,379156,573218,34792,NULL,987167,485
Sussex borough,Sussex,"Sussex borough, Sussex County",2021,JCPL,8678498,28788355,200322,79734,37746909,ETG,416407,605331,47777,NULL,1069515,485
Swedesboro borough,Gloucester,"Swedesboro borough, Gloucester County",2015,ACE,76037386,103201208,55305739,395180,234939513,SJG,593705,360529,307754,NULL,1261988,486
Swedesboro borough,Gloucester,"Swedesboro borough, Gloucester County",2016,ACE,73909796,105062109,56682155,397737,236051797,SJG,469009,309918,330221,NULL,1109149,486
Swedesboro borough,Gloucester,"Swedesboro borough, Gloucester County",2017,ACE,68294215,119110224,52636654,404504,240445597,SJG,505329,333303,284331,NULL,1122963,486
Swedesboro borough,Gloucester,"Swedesboro borough, Gloucester County",2018,ACE,71909840,127213066,54256622,405186,253784714,SJG,613737,318521,339210,NULL,1271468,486
Swedesboro borough,Gloucester,"Swedesboro borough, Gloucester County",2019,ACE,69501846,129746852,51961650,430180,251640528,SJG,572032,335289,409014,NULL,1316336,486
Swedesboro borough,Gloucester,"Swedesboro borough, Gloucester County",2020,ACE,70241253,124780701,51067986,440968,246530908,SJG,536684,269266,294092,NULL,1100041,486
Swedesboro borough,Gloucester,"Swedesboro borough, Gloucester County",2021,ACE,70811633,147954163,54007975,448450,273222221,SJG,582530,305272,358772,NULL,1246574,486
Tabernacle township,Burlington,"Tabernacle township, Burlington County",2015,ACE,35819229,12705310,468026,63932,49056497,SJG,666287,1061250,NULL,NULL,1727537,487
Tabernacle township,Burlington,"Tabernacle township, Burlington County",2016,ACE,34538186,12172674,433331,67616,47211807,SJG,589856,977075,NULL,NULL,1566930,487
Tabernacle township,Burlington,"Tabernacle township, Burlington County",2017,ACE,32866943,11609242,589373,68766,45134324,SJG,627731,956770,NULL,NULL,1584501,487
Tabernacle township,Burlington,"Tabernacle township, Burlington County",2018,ACE,34428960,12139672,566616,69014,47204262,SJG,776068,1158063,NULL,NULL,1934131,487
Tabernacle township,Burlington,"Tabernacle township, Burlington County",2019,ACE,33252583,11655802,489615,69023,45467023,SJG,798576,1036695,NULL,NULL,1835270,487
Tabernacle township,Burlington,"Tabernacle township, Burlington County",2020,ACE,33613900,10387182,624531,69002,44694615,SJG,895820,1030556,NULL,NULL,1926376,487
Tabernacle township,Burlington,"Tabernacle township, Burlington County",2021,ACE,34221424,11092848,560876,69016,45944164,SJG,1046890,1138108,NULL,NULL,2184998,487
Tavistock borough,Camden,"Tavistock borough, Camden County",2015,PSEG,NULL,NULL,NULL,NULL,NULL,PSEG,NULL,NULL,NULL,NULL,0,488
Tavistock borough,Camden,"Tavistock borough, Camden County",2016,PSEG,NULL,NULL,NULL,NULL,NULL,PSEG,NULL,NULL,NULL,NULL,0,488
Tavistock borough,Camden,"Tavistock borough, Camden County",2017,PSEG,NULL,NULL,NULL,NULL,NULL,PSEG,NULL,NULL,NULL,NULL,0,488
Tavistock borough,Camden,"Tavistock borough, Camden County",2018,PSEG,NULL,NULL,NULL,NULL,NULL,PSEG,NULL,NULL,NULL,NULL,0,488
Tavistock borough,Camden,"Tavistock borough, Camden County",2019,PSEG,NULL,NULL,NULL,NULL,NULL,PSEG,NULL,NULL,NULL,NULL,0,488
Tavistock borough,Camden,"Tavistock borough, Camden County",2020,PSEG,NULL,NULL,NULL,NULL,NULL,PSEG,NULL,NULL,NULL,NULL,0,488
Tavistock borough,Camden,"Tavistock borough, Camden County",2021,PSEG,NULL,NULL,NULL,NULL,NULL,PSEG,NULL,NULL,NULL,NULL,0,488
Teaneck township,Bergen,"Teaneck township, Bergen County",2015,PSEG,122125995,113289602,3225167,2174523,240815287,PSEG,14243659,5612998,130609,NULL,19987266,489
Teaneck township,Bergen,"Teaneck township, Bergen County",2016,PSEG,120217871,110938359,2954656,2019937,236130823,PSEG,12081717,5008126,88711,NULL,17178554,489
Teaneck township,Bergen,"Teaneck township, Bergen County",2017,PSEG,114993211,109815820,2089512,2218404,229116947,PSEG,12599832,5288416,57703,NULL,17945951,489
Teaneck township,Bergen,"Teaneck township, Bergen County",2018,PSEG,122199141,111504720,1452874,2146006,237302741,PSEG,14255846,5771243,72353,NULL,20099442,489
Teaneck township,Bergen,"Teaneck township, Bergen County",2019,PSEG,116128088,107493538,1273322,2234322,227129270,PSEG,13500592,5280552,59204,NULL,18840348,489
Teaneck township,Bergen,"Teaneck township, Bergen County",2020,PSEG,123047575,99188535,1011067,2231267,225478444,PSEG,12520332,4716952,57900,NULL,17295185,489
Teaneck township,Bergen,"Teaneck township, Bergen County",2021,PSEG,123455441,99364571,891417,2267839,225979268,PSEG,13430835,4976981,61503,NULL,18469319,489
Tenafly borough,Bergen,"Tenafly borough, Bergen County",2015,PSEG,60591362,31637613,109946,775863,93114784,PSEG,7513319,1974240,7840,NULL,9495399,490
Tenafly borough,Bergen,"Tenafly borough, Bergen County",2016,PSEG,60205931,29397999,268781,708144,90580855,PSEG,6703102,1717586,7880,NULL,8428568,490
Tenafly borough,Bergen,"Tenafly borough, Bergen County",2017,PSEG,58451587,29238253,237108,677729,88604677,PSEG,7048781,1805821,9320,NULL,8863922,490
Tenafly borough,Bergen,"Tenafly borough, Bergen County",2018,PSEG,61303007,29663122,232073,726072,91924274,PSEG,7607078,1957535,10721,NULL,9575334,490
Tenafly borough,Bergen,"Tenafly borough, Bergen County",2019,PSEG,58090597,28372244,223251,736147,87422239,PSEG,7339952,1838978,11596,NULL,9190526,490
Tenafly borough,Bergen,"Tenafly borough, Bergen County",2020,PSEG,61444821,24569306,175253,729238,86918618,PSEG,6883909,1606813,9567,NULL,8500289,490
Tenafly borough,Bergen,"Tenafly borough, Bergen County",2021,PSEG,61997702,26002128,176555,755415,88931800,PSEG,7226522,1735355,9734,NULL,8971612,490
Teterboro borough,Bergen,"Teterboro borough, Bergen County",2015,PSEG,1108021,74162555,13197512,329416,88797504,PSEG,16286,2072399,492053,NULL,2580739,491
Teterboro borough,Bergen,"Teterboro borough, Bergen County",2016,PSEG,4923247,74319410,12677814,356190,92276661,PSEG,13006,1950951,515301,NULL,2479258,491
Teterboro borough,Bergen,"Teterboro borough, Bergen County",2017,PSEG,5021009,76798877,13115074,329691,95264651,PSEG,13780,2187183,520147,NULL,2721110,491
Teterboro borough,Bergen,"Teterboro borough, Bergen County",2018,PSEG,1626021,80118927,14263320,270408,96278676,PSEG,15749,2426072,609986,NULL,3051807,491
Teterboro borough,Bergen,"Teterboro borough, Bergen County",2019,PSEG,187890,78857808,13781340,210303,93037341,PSEG,15215,2333357,619304,NULL,2967877,491
Teterboro borough,Bergen,"Teterboro borough, Bergen County",2020,PSEG,193803,72825053,13797645,212728,87029229,PSEG,14212,1881905,430639,NULL,2326755,491
Teterboro borough,Bergen,"Teterboro borough, Bergen County",2021,PSEG,203098,63915522,13061096,212867,77392583,PSEG,14824,1996804,523615,NULL,2535244,491
Tewksbury township,Hunterdon,"Tewksbury township, Hunterdon County",2015,JCPL,39958351,12383627,86290,25380,52453648,PSEG,1777846,280091,NULL,NULL,2057937,492
Tewksbury township,Hunterdon,"Tewksbury township, Hunterdon County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,1637192,298859,NULL,NULL,1936051,492
Tewksbury township,Hunterdon,"Tewksbury township, Hunterdon County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,1693104,299464,NULL,NULL,1992567,492
Tewksbury township,Hunterdon,"Tewksbury township, Hunterdon County",2018,JCPL,40127076,12496834,72102,25380,52721392,PSEG,1946004,328522,NULL,NULL,2274525,492
Tewksbury township,Hunterdon,"Tewksbury township, Hunterdon County",2019,JCPL,38590460,12703526,75405,25380,51394771,PSEG,1885851,326309,NULL,NULL,2212159,492
Tewksbury township,Hunterdon,"Tewksbury township, Hunterdon County",2020,JCPL,39544299,10639290,58015,25380,50266984,PSEG,1761661,283712,NULL,NULL,2045373,492
Tewksbury township,Hunterdon,"Tewksbury township, Hunterdon County",2021,JCPL,40673084,11021600,62998,25380,51783062,PSEG,1821071,313812,NULL,NULL,2134883,492
Tinton Falls borough,Monmouth,"Tinton Falls borough, Monmouth County",2015,JCPL,60134835,119825115,8802882,528193,189291025,NJNG,5177315,3964385,NULL,NULL,9141700,493
Tinton Falls borough,Monmouth,"Tinton Falls borough, Monmouth County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,4721674,3642259,NULL,NULL,8363933,493
Tinton Falls borough,Monmouth,"Tinton Falls borough, Monmouth County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,4947471,3919409,NULL,NULL,8866880,493
Tinton Falls borough,Monmouth,"Tinton Falls borough, Monmouth County",2018,JCPL,60679651,115958326,9357209,556442,186551628,NJNG,5599224,4501374,NULL,NULL,10100598,493
Tinton Falls borough,Monmouth,"Tinton Falls borough, Monmouth County",2019,JCPL,58571905,108296740,9482435,554377,176905457,NJNG,5432954,4482842,NULL,NULL,9915796,493
Tinton Falls borough,Monmouth,"Tinton Falls borough, Monmouth County",2020,JCPL,60252810,96315583,8877056,536741,165982190,NJNG,152630,516983,NULL,NULL,669613,493
Tinton Falls borough,Monmouth,"Tinton Falls borough, Monmouth County",2021,JCPL,62260654,98250117,8313091,537120,169360982,NJNG,163434,519652,NULL,NULL,683086,493
Toms River township,Ocean,"Toms River township, Ocean County",2015,JCPL,382776081,335147409,11267457,5084758,734275705,NJNG,30103949,9046929,NULL,NULL,39150878,494
Toms River township,Ocean,"Toms River township, Ocean County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,27177257,9016360,NULL,NULL,36193617,494
Toms River township,Ocean,"Toms River township, Ocean County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,27399349,9229759,NULL,NULL,36629108,494
Toms River township,Ocean,"Toms River township, Ocean County",2018,JCPL,380580591,312797321,9653212,5067736,708098860,NJNG,32059680,10120816,NULL,NULL,42180496,494
Toms River township,Ocean,"Toms River township, Ocean County",2019,JCPL,372573114,305647960,9455997,5058764,692735835,NJNG,30698402,9513016,NULL,NULL,40211418,494
Toms River township,Ocean,"Toms River township, Ocean County",2020,JCPL,382946983,266031144,8875479,5043467,662897073,NJNG,1520621,196581331,NULL,NULL,198101952,494
Toms River township,Ocean,"Toms River township, Ocean County",2021,JCPL,394381307,280128117,7837385,5038527,687385336,NJNG,1687568,170022394,NULL,NULL,171709962,494
Totowa borough,Passaic,"Totowa borough, Passaic County",2015,PSEG,35603623,119391751,68657298,771477,224424149,PSEG,4520046,4737885,1412661,NULL,10670591,495
Totowa borough,Passaic,"Totowa borough, Passaic County",2016,PSEG,38247089,115802669,59365439,771263,214186460,PSEG,4035117,3862609,1157764,NULL,9055489,495
Totowa borough,Passaic,"Totowa borough, Passaic County",2017,PSEG,35274146,112822838,58699635,600948,207397567,PSEG,4236652,3887588,1208849,NULL,9333088,495
Totowa borough,Passaic,"Totowa borough, Passaic County",2018,PSEG,35538998,111082261,61135277,829594,208586130,PSEG,4617685,4375912,1281377,NULL,10274974,495
Totowa borough,Passaic,"Totowa borough, Passaic County",2019,PSEG,33935353,107570840,61751955,643403,203901551,PSEG,4403124,4072111,1238192,NULL,9713427,495
Totowa borough,Passaic,"Totowa borough, Passaic County",2020,PSEG,35287740,125073336,60201170,875698,221437944,PSEG,4090631,3801581,1131669,NULL,9023881,495
Totowa borough,Passaic,"Totowa borough, Passaic County",2021,PSEG,35324785,131473037,62003678,833700,229635200,PSEG,4254469,3943066,1226049,NULL,9423584,495
Trenton city,Mercer,"Trenton city, Mercer County",2015,PSEG,177044325,381852625,50115948,10343814,619356712,PSEG,23046694,14533917,7663346,NULL,45243957,496
Trenton city,Mercer,"Trenton city, Mercer County",2016,PSEG,174221924,371632230,45935514,11079263,602868931,PSEG,19610190,12728678,6009595,12893,38361356,496
Trenton city,Mercer,"Trenton city, Mercer County",2017,PSEG,167201503,361990688,44030430,10403300,583625921,PSEG,20405187,12667731,5996073,12893,39081884,496
Trenton city,Mercer,"Trenton city, Mercer County",2018,PSEG,181273953,368924397,47134057,12207688,609540095,PSEG,24064249,14991532,6152574,12928,45221283,496
Trenton city,Mercer,"Trenton city, Mercer County",2019,PSEG,178442583,364268247,49695508,10823419,603229757,PSEG,22758488,14171321,6235248,11830,43176888,496
Trenton city,Mercer,"Trenton city, Mercer County",2020,PSEG,185020440,346349807,48591909,12228855,592191011,PSEG,21183714,12349414,5773227,12893,39319248,496
Trenton city,Mercer,"Trenton city, Mercer County",2021,PSEG,192430517,334896424,49610504,11561246,588498691,PSEG,23122929,12993479,6089682,12928,42219017,496
Tuckerton borough,Ocean,"Tuckerton borough, Ocean County",2015,ACE,28662418,22771382,770442,158227,52362469,NJNG,1429358,689695,NULL,NULL,2119053,497
Tuckerton borough,Ocean,"Tuckerton borough, Ocean County",2016,ACE,26971242,21834881,820046,159172,49785341,NJNG,845983,248096,NULL,NULL,1094079,497
Tuckerton borough,Ocean,"Tuckerton borough, Ocean County",2017,ACE,25000818,20419761,866508,159370,46446457,NJNG,889605,247442,NULL,NULL,1137047,497
